,session,roi,probe_id,channel_id,location,shape
0,797828357,VISp,805579741,849862010,"(8925, 928, 7884)","(13144770, 25)"
1,797828357,VISp,805579741,849862002,"(8912, 970, 7883)","(13144770, 25)"
2,797828357,VISp,805579741,849862018,"(8936, 894, 7884)","(13144770, 25)"
3,797828357,VISl,805579745,849860814,"(8835, 2088, 9824)","(13144777, 24)"
4,797828357,VISl,805579745,849860806,"(8822, 2122, 9811)","(13144777, 24)"
5,797828357,VISl,805579745,849860798,"(8808, 2155, 9799)","(13144777, 24)"
6,797828357,VISal,805579749,849859600,"(8275, 2399, 9498)","(12839510, 24)"
7,797828357,VISal,805579749,849859768,"(8369, 1748, 9970)","(12839510, 24)"
8,797828357,VISal,805579749,849859776,"(8373, 1717, 9990)","(12839510, 24)"
9,797828357,VISrl,805579753,849858616,"(7463, 1341, 8790)","(13144849, 23)"
10,797828357,VISrl,805579753,849858648,"(7429, 1210, 8888)","(13144849, 23)"
11,797828357,VISrl,805579753,849858640,"(7438, 1244, 8862)","(13144849, 23)"
12,797828357,VISam,805579734,849857312,"(7394, 898, 7371)","(13144750, 25)"
13,797828357,VISam,805579734,849857304,"(7401, 930, 7354)","(13144750, 25)"
14,797828357,VISam,805579734,849857320,"(7387, 866, 7387)","(13144750, 25)"
15,797828357,VISpm,805579738,849863418,"(7834, 775, 7103)","(13144750, 25)"
16,797828357,VISpm,805579738,849863410,"(7834, 817, 7099)","(13144750, 25)"
17,797828357,VISpm,805579738,849863402,"(7834, 850, 7096)","(13144750, 25)"
18,791319847,VISp,805008604,849907056,"(8713, 934, 7964)","(13007911, 23)"
19,791319847,VISp,805008604,849907072,"(8734, 862, 7996)","(13007911, 23)"
20,791319847,VISp,805008604,849907064,"(8722, 902, 7978)","(13007911, 23)"
21,791319847,VISl,805008606,849905630,"(8288, 2374, 9459)","(13007856, 24)"
22,791319847,VISl,805008606,849905638,"(8302, 2340, 9472)","(13007856, 24)"
23,791319847,VISl,805008606,849905622,"(8273, 2406, 9447)","(13007856, 24)"
24,791319847,VISal,805008608,849908442,"(8063, 2252, 9380)","(13007901, 21)"
25,791319847,VISal,805008608,849908450,"(8071, 2212, 9410)","(13007901, 21)"
26,791319847,VISal,805008608,849908434,"(8058, 2284, 9356)","(13007901, 21)"
27,791319847,VISrl,805008610,849904558,"(7231, 1619, 8369)","(13007911, 25)"
28,791319847,VISrl,805008610,849904550,"(7240, 1648, 8340)","(13007911, 25)"
29,791319847,VISrl,805008610,849904542,"(7249, 1676, 8312)","(13007911, 25)"
30,791319847,VISam,805008600,849902392,"(7360, 1152, 7418)","(13007880, 24)"
31,791319847,VISam,805008600,849902384,"(7371, 1185, 7396)","(13007880, 24)"
32,791319847,VISam,805008600,849902376,"(7382, 1218, 7374)","(13007880, 24)"
33,791319847,VISpm,805008602,849903444,"(7522, 973, 7275)","(13007822, 23)"
34,791319847,VISpm,805008602,849903412,"(7532, 1111, 7220)","(13007822, 23)"
35,791319847,VISpm,805008602,849903404,"(7535, 1148, 7205)","(13007822, 23)"
36,756029989,VISp,760640090,850125566,"(8934, 947, 7863)","(12453011, 22)"
37,756029989,VISp,760640090,850125550,"(8920, 1033, 7858)","(12453011, 22)"
38,756029989,VISp,760640090,850125558,"(8927, 990, 7860)","(12453011, 22)"
39,756029989,VISl,760640094,850120480,"(9055, 1865, 9495)","(12453011, 18)"
40,756029989,VISl,760640094,850120464,"(9030, 1952, 9465)","(12453011, 18)"
41,756029989,VISl,760640094,850120472,"(9044, 1904, 9482)","(12453011, 18)"
42,756029989,VISal,760640097,850124202,"(7853, 2101, 9186)","(12412150, 21)"
43,756029989,VISal,760640097,850124266,"(7913, 1841, 9417)","(12412150, 21)"
44,756029989,VISal,760640097,850124354,"(8015, 1496, 9765)","(12412150, 21)"
45,756029989,VISrl,760640104,850122982,"(7546, 934, 8480)","(12453050, 18)"
46,756029989,VISrl,760640104,850122878,"(7621, 1413, 8080)","(12453050, 18)"
47,756029989,VISrl,760640104,850122958,"(7566, 1050, 8393)","(12453050, 18)"
48,756029989,VISam,760640083,850126802,"(7416, 1109, 7368)","(12453025, 23)"
49,756029989,VISam,760640083,850126786,"(7437, 1167, 7332)","(12453025, 23)"
50,756029989,VISam,760640083,850126794,"(7428, 1142, 7347)","(12453025, 23)"
51,756029989,VISpm,760640087,850121740,"(7684, 1078, 7185)","(12452988, 24)"
52,756029989,VISpm,760640087,850121748,"(7686, 1040, 7197)","(12452988, 24)"
53,756029989,VISpm,760640087,850121724,"(7679, 1155, 7159)","(12452988, 24)"
